"id","name","url","permission","icon","level","type","sort","parent_id","create_by","creater","create_date","update_by","updater","update_date","del_flag"
"10000","系统管理","system-management",NULL,"fa-cog",NULL,"MENU","10","0","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"11000","数据字典管理","dicts",NULL,NULL,NULL,"MENU","10","10000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"11100","列表",NULL,"system:dict:list",NULL,NULL,"BUTTON","10","11000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"11200","添加",NULL,"system:dict:add",NULL,NULL,"BUTTON","20","11000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"11300","查看详情",NULL,"system:dict:view",NULL,NULL,"BUTTON","30","11000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"11400","修改",NULL,"system:dict:edit",NULL,NULL,"BUTTON","40","11000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"11500","删除",NULL,"system:dict:remove",NULL,NULL,"BUTTON","50","11000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12000","用户管理","user",NULL,"fa-user",NULL,"MENU","10","10000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12100","列表",NULL,"system:user:list",NULL,NULL,"BUTTON","10","12000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12200","添加",NULL,"system:user:add",NULL,NULL,"BUTTON","20","12000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12300","查看详情",NULL,"system:user:view",NULL,NULL,"BUTTON","30","12000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12400","修改",NULL,"system:user:edit",NULL,NULL,"BUTTON","40","12000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12500","删除",NULL,"system:user:remove",NULL,NULL,"BUTTON","50","12000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12600","修改密码",NULL,"system:role:modifyPwd",NULL,NULL,"BUTTON","60","12000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"12700","重置密码",NULL,"system:user:restPwd",NULL,NULL,"BUTTON","70","12000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13000","角色管理","role",NULL,"fa-group",NULL,"MENU","20","10000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13100","列表",NULL,"system:role:list",NULL,NULL,"BUTTON","10","13000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13200","添加",NULL,"system:role:add",NULL,NULL,"BUTTON","20","13000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13300","查看详情",NULL,"system:role:view",NULL,NULL,"BUTTON","30","13000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13400","修改",NULL,"system:role:edit",NULL,NULL,"BUTTON","40","13000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13500","删除",NULL,"system:role:remove",NULL,NULL,"BUTTON","50","13000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13600","设置角色权限",NULL,"system:role:setResource",NULL,NULL,"BUTTON","60","13000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"13700","设置用户",NULL,"system:role:setUser",NULL,NULL,"BUTTON","70","13000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"14000","菜单管理","resources",NULL,NULL,NULL,"MENU","30","10000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"14100","列表",NULL,"system:resource:list",NULL,NULL,"BUTTON","10","14000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"14200","添加",NULL,"system:resource:add",NULL,NULL,"BUTTON","20","14000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"14300","查看详情",NULL,"system:resource:view",NULL,NULL,"BUTTON","30","14000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"14400","修改",NULL,"system:resource:edit",NULL,NULL,"BUTTON","40","14000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"14500","删除",NULL,"system:resource:remove",NULL,NULL,"BUTTON","50","14000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"15000","组织管理","/api/orgs",NULL,NULL,NULL,"MENU","40","10000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"15100","列表",NULL,"system:org:list",NULL,NULL,"BUTTON","10","15000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"15200","添加",NULL,"system:org:add",NULL,NULL,"BUTTON","20","15000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"15300","查看详情",NULL,"system:org:view",NULL,NULL,"BUTTON","30","15000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"15400","修改",NULL,"system:org:edit",NULL,NULL,"BUTTON","40","15000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"15500","删除",NULL,"system:org:remove",NULL,NULL,"BUTTON","50","15000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"20000","设备管理","facility-management",NULL,"fa-cogs",NULL,"MENU","10","0","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
"20100","设备信息","facility",NULL,"fa-laptop",NULL,"MENU","10","20000","0","管理员","1900-01-01 00:00:00","0","管理员","1900-01-01 00:00:00","NORMAL"
